Sl. No.,value of x,Abs_error
1,1.5,--
2,2.4934563753394325,0.9934563753394325
3,2.234774557212441,0.25868181812699165
4,2.2191751784518434,0.015599378760597471
5,2.2191071501961965,6.80282556468903e-05
6,2.219107148913746,1.2824505901676275e-09
