Sl. No.,value of c,Abs_error
1,2.5,--
2,-0.7303054,3.2303053999999998
3,-0.7388388,0.008533400000000024
4,-0.7390783,0.0002394999999999481
5,-0.7390849,6.600000000078765e-06
6,-0.7390851,2.0000000000575113e-07
