Sl. No.,value of c,Abs_error
1,2.5,--
2,2.2142788,0.2857211999999998
3,2.2187778,0.004498999999999587
4,2.2190847,0.00030689999999999884
5,2.2191056,2.089999999999037e-05
6,2.219107,1.4000000003733248e-06
7,2.2191071,9.999999983634211e-08
